model,model_label,dataset,dataset_label,error_rate,strategy,strategy_label,mean,std,count,full_mcc,complete_panel
dmpnn,D-MPNN,pgp_broccatelli,Pgp,10,max_oob_uncertainty,MaxU,0.4284127300953088,0.07688998584032916,20,0.4763977285318641,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,10,min_oob_error,MinE,0.42660726417530553,0.06421413207664506,20,0.4763977285318641,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,10,min_oob_uncertainty,MinU,0.44424430670313486,0.055217671136543384,20,0.4763977285318641,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,10,random,Random,0.4433688637042862,0.0590331597091105,20,0.4763977285318641,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,20,first,First,0.40369479215887993,0.06426434916343077,20,0.47796799673826645,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,20,max_oob_error,MaxE,0.4161110227163782,0.046234810279413625,20,0.47796799673826645,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,20,max_oob_uncertainty,MaxU,0.3922017511031074,0.05287409998226854,20,0.47796799673826645,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,20,min_oob_error,MinE,0.37892005722295485,0.06337112098893269,20,0.47796799673826645,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,20,min_oob_uncertainty,MinU,0.40630364343165404,0.06817028132757184,20,0.47796799673826645,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,20,random,Random,0.3913670292011994,0.06909091527983953,20,0.47796799673826645,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,30,first,First,0.3336505935770234,0.08139684718980103,20,0.2547561348530648,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,30,max_oob_error,MaxE,0.36394566811499474,0.06881144882192029,20,0.2547561348530648,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,30,max_oob_uncertainty,MaxU,0.32576869858081026,0.0772885854998715,20,0.2547561348530648,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,30,min_oob_error,MinE,0.28330671818202485,0.08782589419744367,20,0.2547561348530648,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,30,min_oob_uncertainty,MinU,0.33404013123764603,0.07987297953543217,20,0.2547561348530648,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,30,random,Random,0.3279487848349302,0.09286152465464449,20,0.2547561348530648,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,40,first,First,0.2219104899988135,0.10731877103022006,20,0.13181881714386154,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,40,max_oob_error,MaxE,0.2645082970549296,0.09404512679288526,20,0.13181881714386154,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,40,max_oob_uncertainty,MaxU,0.2378745139603208,0.12301148958044425,20,0.13181881714386154,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,40,min_oob_error,MinE,0.21716142412579606,0.13887843470671238,20,0.13181881714386154,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,40,min_oob_uncertainty,MinU,0.23080725514497186,0.09389942172251203,20,0.13181881714386154,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,40,random,Random,0.22588653899980762,0.14120862945494245,20,0.13181881714386154,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,0,first,First,0.46081786380915657,0.019441817229696807,20,0.468408358017602,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,0,max_oob_error,MaxE,0.4424508054516975,0.022557136841322583,20,0.468408358017602,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,0,max_oob_uncertainty,MaxU,0.44972504556077464,0.019165337987665017,20,0.468408358017602,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,0,min_oob_error,MinE,0.38661725535941516,0.014481584153107952,20,0.468408358017602,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,0,min_oob_uncertainty,MinU,0.4642484065730653,0.02049223869169859,20,0.468408358017602,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,0,random,Random,0.4528437383976793,0.017478695905785876,20,0.468408358017602,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,10,first,First,0.40993669664976373,0.020613454889259947,20,0.3785192006360057,True
molformer,MolFormer,CYP2D6_Veith,CYP2D6,10,max_oob_error,MaxE,0.42835982867840794,0.018116216976948863,20,0.3785192006360057,True
