dataset,error,seed,metric_value,method,method_label,metric,dataset_label,smal_strategy,f_min_iter
CYP2D6_Veith,0,8,0.1963529811459228,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,9,0.1229304165713035,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,0,0.3671565456119428,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,1,0.3861290019104023,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,10,0.4150265999034907,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,11,0.3619332112128018,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,12,0.3801025422038089,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,13,0.3676362522971991,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,14,0.3462573112988822,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,15,0.3908874017835423,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,16,0.3645387238606985,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,17,0.3709000195376314,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,18,0.3841045611004849,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,19,0.3820588154717854,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,2,0.3615591153512348,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,3,0.3923785683957831,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,4,0.3824697374865465,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,5,0.3793654173186484,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,6,0.3842701119984275,diverse_balanced,Diverse Balanced,mcc,CYP2D6,,
