dataset,protocol,seed,value,metric
MDR1_MDCK_classification2,al,17,0.4055337893161811,mcc
MDR1_MDCK_classification2,al,18,0.4554306458215896,mcc
MDR1_MDCK_classification2,al,19,0.4846364106318971,mcc
MDR1_MDCK_classification2,pl,0,0.3754645767063039,mcc
MDR1_MDCK_classification2,pl,1,0.3399755221459367,mcc
MDR1_MDCK_classification2,pl,2,0.4267470272882607,mcc
MDR1_MDCK_classification2,pl,3,0.3667995146344484,mcc
MDR1_MDCK_classification2,pl,4,0.3728296858469911,mcc
MDR1_MDCK_classification2,pl,5,0.378437413299538,mcc
MDR1_MDCK_classification2,pl,6,0.3834144107955616,mcc
MDR1_MDCK_classification2,pl,7,0.4006511714011993,mcc
MDR1_MDCK_classification2,pl,8,0.4030189718569798,mcc
MDR1_MDCK_classification2,pl,9,0.4181117471207551,mcc
MDR1_MDCK_classification2,pl,10,0.4322118526125482,mcc
MDR1_MDCK_classification2,pl,11,0.3794682656013489,mcc
MDR1_MDCK_classification2,pl,12,0.4440655796670076,mcc
MDR1_MDCK_classification2,pl,13,0.3845222455514077,mcc
MDR1_MDCK_classification2,pl,14,0.3538522270133334,mcc
MDR1_MDCK_classification2,pl,15,0.3901340512553524,mcc
MDR1_MDCK_classification2,pl,16,0.3480656747063862,mcc
MDR1_MDCK_classification2,pl,17,0.358346250040917,mcc
MDR1_MDCK_classification2,pl,18,0.3878414760048132,mcc
MDR1_MDCK_classification2,pl,19,0.4222500044939615,mcc
MDR1_MDCK_classification2,random,0,0.4477350965928874,mcc
MDR1_MDCK_classification2,random,1,0.4667243733296465,mcc
MDR1_MDCK_classification2,random,2,0.4747799360186328,mcc
MDR1_MDCK_classification2,random,3,0.4796251039413282,mcc
MDR1_MDCK_classification2,random,4,0.445000898123558,mcc
MDR1_MDCK_classification2,random,5,0.4625124565683684,mcc
MDR1_MDCK_classification2,random,6,0.5002965347539032,mcc
MDR1_MDCK_classification2,random,7,0.459117863599191,mcc
MDR1_MDCK_classification2,random,8,0.4612416182458032,mcc
MDR1_MDCK_classification2,random,9,0.4962234212486822,mcc
MDR1_MDCK_classification2,random,10,0.5211929744628592,mcc
MDR1_MDCK_classification2,random,11,0.4689643221674794,mcc
MDR1_MDCK_classification2,random,12,0.4837428513596835,mcc
MDR1_MDCK_classification2,random,13,0.473414594158552,mcc
MDR1_MDCK_classification2,random,14,0.4587813833464326,mcc
MDR1_MDCK_classification2,random,15,0.5173791193647953,mcc
MDR1_MDCK_classification2,random,16,0.4510882276041298,mcc
MDR1_MDCK_classification2,random,17,0.4709953598042409,mcc
MDR1_MDCK_classification2,random,18,0.4969410889369964,mcc
MDR1_MDCK_classification2,random,19,0.4846814469881596,mcc
MDR1_MDCK_classification2,first,0,0.5036212265289598,mcc
MDR1_MDCK_classification2,first,1,0.4173668889593442,mcc
MDR1_MDCK_classification2,first,2,0.5262744046107055,mcc
MDR1_MDCK_classification2,first,3,0.4885695335184175,mcc
MDR1_MDCK_classification2,first,4,0.4855678857707352,mcc
MDR1_MDCK_classification2,first,5,0.4559838761249855,mcc
MDR1_MDCK_classification2,first,6,0.4568889968714345,mcc
MDR1_MDCK_classification2,first,7,0.5138824739825542,mcc
MDR1_MDCK_classification2,first,8,0.4940862095670441,mcc
MDR1_MDCK_classification2,first,9,0.4926984572830926,mcc
MDR1_MDCK_classification2,first,10,0.4731914384710414,mcc
MDR1_MDCK_classification2,first,11,0.490727697312346,mcc
MDR1_MDCK_classification2,first,12,0.4899581295042699,mcc
MDR1_MDCK_classification2,first,13,0.4768622898114182,mcc
MDR1_MDCK_classification2,first,14,0.4608815308232138,mcc
MDR1_MDCK_classification2,first,15,0.4758647891847502,mcc
MDR1_MDCK_classification2,first,16,0.4982940491509129,mcc
MDR1_MDCK_classification2,first,17,0.4545305640136767,mcc
MDR1_MDCK_classification2,first,18,0.4607442393675007,mcc
MDR1_MDCK_classification2,first,19,0.4776238015520416,mcc
MDR1_MDCK_classification2,min_oob_error,0,0.489305726805281,mcc
MDR1_MDCK_classification2,min_oob_error,1,0.4655642217175442,mcc
MDR1_MDCK_classification2,min_oob_error,2,0.5199717589904143,mcc
MDR1_MDCK_classification2,min_oob_error,3,0.4885202907557424,mcc
MDR1_MDCK_classification2,min_oob_error,4,0.4915304664629391,mcc
MDR1_MDCK_classification2,min_oob_error,5,0.4477023818134145,mcc
MDR1_MDCK_classification2,min_oob_error,6,0.4529960885376122,mcc
