source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
initial,40,ames,Ames,max_oob_error,MaxE,0.5054502086933422,3.814697265625e-06,20,1
initial,40,ames,Ames,min_oob_uncertainty,MinU,0.23426078775608614,8.20159912109375e-05,20,1
initial,40,ames,Ames,max_oob_uncertainty,MaxU,0.125648588488684,0.0758514404296875,20,0
initial,40,CYP3A4_Veith,CYP3A4,random,Random,-0.022595437038720956,0.9854354858398438,20,0
initial,40,CYP3A4_Veith,CYP3A4,first,First,0.12186331948121057,0.09730720520019531,20,0
initial,40,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,-1.1280596708163904,1.9073486328125e-06,20,-1
initial,40,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,2.225224214635765,1.9073486328125e-06,20,1
initial,40,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,0.44576705491275187,9.5367431640625e-06,20,1
initial,40,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,0.009689496786953277,0.5705966949462891,20,0
initial,40,CYP2D6_Veith,CYP2D6,random,Random,0.2419422070025487,0.006389617919921875,20,1
initial,40,CYP2D6_Veith,CYP2D6,first,First,0.08963941415981265,0.7285060882568359,20,0
initial,40,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,-0.6693114730516478,0.0002613067626953125,20,-1
initial,40,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,1.2908775615111554,2.6702880859375e-05,20,1
initial,40,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,0.46353085771398045,2.6702880859375e-05,20,1
initial,40,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,0.16655331110998145,0.08969497680664062,20,0
stratified_shuffle,10,pgp_broccatelli,Pgp,random,Random,0.3398181345233784,0.00485992431640625,20,1
stratified_shuffle,10,pgp_broccatelli,Pgp,first,First,0.33325926957359153,0.009435653686523438,20,1
stratified_shuffle,10,pgp_broccatelli,Pgp,min_oob_error,MinE,0.4390284900371014,0.0001678466796875,20,1
stratified_shuffle,10,pgp_broccatelli,Pgp,max_oob_error,MaxE,0.13580665450371932,0.6742229461669922,20,0
stratified_shuffle,10,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,0.48472852975259534,0.000850677490234375,20,1
stratified_shuffle,10,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,0.390291507092687,0.002712249755859375,20,1
stratified_shuffle,10,PAMPA_NCATS,PAMPA,random,Random,0.1411065225543847,0.1893482208251953,20,0
stratified_shuffle,10,PAMPA_NCATS,PAMPA,first,First,0.1729267555213926,0.21616744995117188,20,0
stratified_shuffle,10,PAMPA_NCATS,PAMPA,min_oob_error,MinE,0.16359037949840177,0.16495704650878906,20,0
stratified_shuffle,10,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,0.23259996199066832,0.15364646911621094,20,0
stratified_shuffle,10,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,0.14884194846151683,0.10539817810058594,20,0
stratified_shuffle,10,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,0.07748766318227189,0.47490501403808594,20,0
stratified_shuffle,10,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,0.835583054712626,1.9073486328125e-06,20,1
stratified_shuffle,10,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0.6511151866278009,0.0001678466796875,20,1
stratified_shuffle,10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,1.0644966220732528,3.814697265625e-06,20,1
stratified_shuffle,10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,-1.4674309173449989,1.9073486328125e-06,20,-1
stratified_shuffle,10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.8766688068559368,1.9073486328125e-06,20,1
stratified_shuffle,10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.7575435838556182,1.9073486328125e-05,20,1
stratified_shuffle,10,ames,Ames,random,Random,0.0294642712767736,0.6742229461669922,20,0
