dataset,error,metric,smal_strategy,sampler,sampler_label,n_seeds,smal_metric_mean,smal_metric_std,static_metric_mean,static_metric_std,smal_minus_static_metric_mean,smal_minus_static_metric_median,smal_win_rate,wilcoxon_greater_p
PAMPA_NCATS,0,mcc,max_oob_error,random,Random,20,0.18527600552034842,0.03745766656604567,0.12066988272712409,0.05545683080455183,0.06460612279322434,0.0642194369852667,0.8,0.00029277801513671875
PAMPA_NCATS,0,mcc,max_oob_error,random_over_sampler,RandomOverSampler,20,0.18527600552034842,0.03745766656604567,0.18154774474374324,0.04758476662414845,0.003728260776605188,0.004746508301410907,0.6,0.19418811798095703
PAMPA_NCATS,0,mcc,max_oob_error,random_under_sampler,RandomUnderSampler,20,0.18527600552034842,0.03745766656604567,0.1503716822852711,0.038920326502188046,0.03490432323507735,0.05939216024049315,0.75,0.014787673950195312
PAMPA_NCATS,0,mcc,max_oob_error,repeated_edited_nearest_neighbours,RepeatedEditedNN,20,0.18527600552034842,0.03745766656604567,0.19212974627248067,0.05300183467548194,-0.0068537407521322286,-0.0019696521147905544,0.4,0.7147016525268555
PAMPA_NCATS,0,mcc,max_oob_error,smoten,SMOTEN,20,0.18527600552034842,0.03745766656604567,0.15766123763762377,0.045445484328137456,0.02761476788272471,0.02878484879280055,0.75,0.0133209228515625
PAMPA_NCATS,0,mcc,max_oob_error,tomek_links,TomekLinks,20,0.18527600552034842,0.03745766656604567,0.18194767221590394,0.05230364778624739,0.003328333304444501,0.007946950663233747,0.55,0.3920631408691406
ames,0,mcc,max_oob_error,all_knn,AllKNN,20,0.45197126434191814,0.05205911718015198,0.4184918215693979,0.043117912517684515,0.03347944277252027,0.03299856940773077,0.75,0.0015764236450195312
ames,0,mcc,max_oob_error,balanced,Balanced,20,0.45197126434191814,0.05205911718015198,0.44148527811308025,0.05262682717159244,0.010485986228837854,0.009768528048616304,0.7,0.006039619445800781
ames,0,mcc,max_oob_error,balanced_diverse,Balanced Diverse,20,0.45197126434191814,0.05205911718015198,0.4426937534633592,0.053273393510492886,0.00927751087855889,0.009420833432861736,0.65,0.0107421875
ames,0,mcc,max_oob_error,condensed_nearest_neighbour,CondensedNN,20,0.45197126434191814,0.05205911718015198,0.3904885356020446,0.0446953572151881,0.06148272873987356,0.07555823852743168,0.9,6.67572021484375e-05
ames,0,mcc,max_oob_error,diverse,Diverse,20,0.45197126434191814,0.05205911718015198,0.4487751964790851,0.05140217161963917,0.0031960678628331464,0.003561681810675954,0.65,0.17440509796142578
ames,0,mcc,max_oob_error,diverse_balanced,Diverse Balanced,20,0.45197126434191814,0.05205911718015198,0.4424518211733811,0.052682232080930834,0.009519443168537034,0.008409897205725464,0.7,0.0107421875
ames,0,mcc,max_oob_error,edited_nearest_neighbours,EditedNN,20,0.45197126434191814,0.05205911718015198,0.40045126159669475,0.0317172984093307,0.05152000274522335,0.0784558386126174,0.8,0.0006046295166015625
